test,accuracy,precision,recall,F1
feedforward,0.7579721808433533,0.7693602442741394,0.7418830990791321,0.7553719156900862
feedforward,0.7636958360671997,0.7646129727363586,0.7756410241127014,0.7700875354966458
rnn,0.9877350926399231,0.9781931638717651,0.998410165309906,0.9881983239802303
rnn,0.9942763447761536,0.9951456189155579,0.993537962436676,0.9943411236121282
cnn,0.992641031742096,0.9852941036224365,1.0,0.9925925854760106
